"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"DAL GUERZO SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DOM","VIA SOTTOMONTE, 43",39055,"LAIVES","BZ",46.4277400059755,11.3436199963762
"DANNY BAR","BAR TAVOLA CALDA","MAI","VIA RAFFAELLO SERNESI, 32",39100,"BOLZANO","BZ",46.4987200156314,11.3511699956615
"DANTE MENSA","MENSA RISERVATA","MAI","VIA DANTE ALIGHIERI, 41",39042,"BRESSANONE","BZ",46.7210600137343,11.6499099934706
"DEGUSTIBUS BAR","BAR TAVOLA CALDA","MAI","VIA ANTONIO ROSMINI, 51",39100,"BOLZANO","BZ",46.4982000023584,11.3479400292728
"DELICIOUS TAKE AWAY","TAKE AWAY / PIZZ. ASPORTO","MAI","VIA MUSEO, 58",39100,"BOLZANO","BZ",46.5002099827398,11.3483899698352
"DER TRAUBENWIRT RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA PORTICI MINORI, 9",39042,"BRESSANONE","BZ",46.7159999845158,11.6556700373328
"DERBY MAIR WOLFANG RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA PASSO PENNES, 1",39049,"VIPITENO","BZ",46.8798341890765,11.4374326519331
"DESPAR","MARKET CON GASTR./SUPERMERCATO","DOM","V. WEIBENBACHSTRASSE, 2",39030,"VALLE AURINA","BZ",46.9513199883286,11.9211600310733
"DESPAR","MARKET CON GASTR./SUPERMERCATO","DOM","V. PAESE, 09",39025,"PLAUS","BZ",46.6559200112968,11.0416900138565
"DESPAR MARKET","GASTRONOMIA/ROSTICCERIA","DOM","VIA PETER KEMENATER, 15",39040,"NAZ SCIAVES","BZ",46.770020009377,11.6657600047373
"DESPAR SALORNO SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","XXX","VIA NAZIONALE, 1",39040,"SALORNO SULLA STRADA DEL VINO","BZ",46.2502021158353,11.2167035162021
"DESPAR SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DOM","VIA ULRICH VON TAUFERS, 6",39030,"GAIS","BZ",46.8358300192448,11.9467400070032
"DESPAR SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DOM","VIA STAZIONE, 36",39052,"CALDARO SULLA STRADA DEL VINO","BZ",46.4158799901679,11.248139977105
"DESPAR TOGN SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DO","VIA STAZIONE, 8",39057,"APPIANO SULLA STRADA DEL VINO","BZ",46.4551199956123,11.2597599771152
"DIANA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA ORAZIO, 57",39100,"BOLZANO","BZ",46.4974499896622,11.340599996662
"DIE DECHANTEI RISTORANTE","RISTORANTE","XXX","VIA HARTWIG, 5",39042,"BRESSANONE","BZ",46.7151700084634,11.6584600376237
"DIPS - FRENCH TACOS AND SALADS","FAST FOOD","XXX","VIA DOTTOR JULIUS PERATHONER, 29",39100,"BOLZANO","BZ",46.4969300182988,11.3558399730156
"DISTRIBUTORE Q8 BAR","BAR TAVOLA CALDA","MAI","VIA MEBO, 20",39100,"BOLZANO","BZ",46.4833411917344,11.2966581965479
"DOENERLAND SKAMPINI FAST FOOD","FAST FOOD","MAI","PIAZZA DOMENICANI, 41",39100,"BOLZANO","BZ",46.4976999799244,11.3524499960954
"DOLCE & SALATO","FAST FOOD","MAI","VIA DELLA RENA, 3",39100,"BOLZANO","BZ",46.4983800037291,11.3566100184604
"DOLOMITEN CAFE RESTAURANT","RISTORANTE","S&D","VIA VITTORIO VENETO, 33",39042,"BRESSANONE","BZ",46.7089899893426,11.6520499771703
"DOLOMITENBLICK PUB RESTAURANT","RISTORANTE / PIZZERIA","MAR","VIA AUSSERECK, 20",39037,"RIO DI PUSTERIA","BZ",46.8144699962877,11.6589600181482
"DOLOMITI RISTORANTE  PIZZERIA","RISTORANTE / PIZZERIA","DOM","V.LE VENEZIA, 3",39100,"BOLZANO","BZ",46.4991800144777,11.3454599917612
"DOLOMITIGRILL TAKE AWAY","TAKE AWAY / PIZZ. ASPORTO","MAI","VIA DEI CONCIAPELLI, 2",39100,"BOLZANO","BZ",46.4986200195265,11.3570199773447
"DOLORES BAR","BAR TAVOLA FREDDA","MAI","CORSO ITALIA, 13",39100,"BOLZANO","BZ",46.5001200030093,11.3400900416729
"DOM CAFE","BAR TAVOLA FREDDA","MAI","PIAZZA PARROCCHIA, 3",39042,"BRESSANONE","BZ",46.7166100194289,11.6574800255045
"DOM CAFE'","BAR TAVOLA CALDA","MAI","VIA ALTO ADIGE, 2",39100,"BOLZANO","BZ",46.497510004089,11.3548700191802
"DOMINO BAR","BAR TAVOLA CALDA","DOM","PIAZZA W VON DER VOGELWEIDE, 1",39100,"BOLZANO","BZ",46.4981100000001,11.35441
"DON CAMILLO RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA HERZOG HEINRICH, 3",39031,"BRUNICO","BZ",46.8150799892913,11.9356800019441
"DOPPIO ZERO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","VIA MASO DELLA PIEVE, 2",39100,"BOLZANO","BZ",46.4769499918804,11.3379900396513
"DOPPIOZERO BAR","BAR TAVOLA FREDDA","MAI","VIA MASO DELLA PIEVE, 2/6",39100,"BOLZANO","BZ",46.4769499918804,11.3379900396513
"DORF CAFE' BAR","BAR TAVOLA FREDDA","MAI","VIA PASSIRIA, 7",39015,"SAN LEONARDO IN PASSIRIA","BZ",46.8124300086929,11.2463699706115
"DORFLODN SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","DO","VIA WEISSKIRCHE, 42",39030,"VANDOIES","BZ",46.8129099983782,11.7566200027971
"DORIS BAR","BAR TAVOLA CALDA","SAB","VIA KARL WOLF, 71",39012,"MERANO","BZ",46.6790800060514,11.153079975002
"DRAGO D' ORO RISTORANTE","RISTORANTE","MAI","VIA DELLA ROGGIA, 7",39100,"BOLZANO","BZ",46.5003800096458,11.3515500311514
"DREAM'S PUB BAR","BAR TAVOLA CALDA","LUN","VIA DALMAZIA, 87",39100,"BOLZANO","BZ",46.4919199871327,11.3336600322899
"DUBLIN PUB BISTRO' RISTORANTE","BAR TAVOLA CALDA","DOM","VIA LUIGI NEGRELLI, 13",39100,"BOLZANO","BZ",46.4716600051484,11.3333000295485
"DUCA RISTORANTE SELF SERVICE","SELF-SERVICE","LUN","VIA BRUNO BUOZZI, 16",39100,"BOLZANO","BZ",46.4735399822115,11.3253499620247
"DUE DI PICCHE BAR BISTRO","BAR TAVOLA FREDDA","MAI","VIALE STAZIONE, 6",39042,"BRESSANONE","BZ",46.7157600106279,11.6546799669297
"EAST & WEST RISTORANTE","RISTORANTE","XXX","VIA DEL RONCO, 19",39100,"BOLZANO","BZ",46.4920311058215,11.3262003551412
"EBENEICH RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","V. VELLAU, 4",39022,"LAGUNDO","BZ",46.6932600069294,11.1216800246023
"EDELWEISS HOTEL RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA NAZIONALE, 28",39027,"CURON VENOSTA","BZ",46.8292099921169,10.5177000307095
"EDEN  PARK BAR","BAR TAVOLA FREDDA","DOM","VIA MUSEO, 4",39100,"BOLZANO","BZ",46.4996700205373,11.3522500038856
"EDEN BAR","BAR TAVOLA FREDDA","DO","VIA VITTORIO VENETO, 24",39042,"BRESSANONE","BZ",46.7102300080984,11.6517000327127
"EINKEHR ZUR LINDE TRATTORIA","TRATTORIA","MAI","VIA HEPPENHEIM, 6",39052,"CALDARO SULLA STRADA DEL VINO","BZ",46.4178999869236,11.2326600268635
"EISBAR","RISTORANTE / PIZZERIA","DOM","V. GUSTAV MAHLER, 24",39034,"DOBBIACO","BZ",46.7353700179306,12.2179099974306
"EISBERG GELATERIA CAFFE","BAR TAVOLA FREDDA","MAI","VIA FIRENZE, 13",39100,"BOLZANO","BZ",46.4936138773413,11.3433480137929
"ENGELKELLER RISTORANTE","RISTORANTE / PIZZERIA","LUN","LARGO BALLHAUS, 41",39044,"EGNA","BZ",46.3112699828629,11.2689499795758
"ENOTHEQUE BERNARDI BAR","BAR TAVOLA FREDDA","DOM","VIA STUCK, 6",39031,"BRUNICO","BZ",46.796139989419,11.9402100015153
"ERLENSTUBE RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","FRAZIONE SAN PIETRO MEZZOMONTE, 25",39040,"VELTURNO","BZ",46.6665799900268,11.6130400130586
"ETERNUM THE RESAURANT","RISTORANTE","DO","VIA PORTICI, 90",39012,"MERANO","BZ",46.6715499976052,11.1631299607284
"EURAC CAFE'","BAR TAVOLA FREDDA","DOM","VIALE DRUSO, 1",39100,"BOLZANO","BZ",46.4946000168541,11.346700010517
"EURAC CAFE' BAR","BAR TAVOLA FREDDA","DOM","VIALE DRUSO, 1",39100,"BOLZANO","BZ",46.4946000168541,11.346700010517
"EURO BAR","BAR TAVOLA FREDDA","MAI","VIA GUGLIELMO MARCONI, 44",39055,"LAIVES","BZ",46.4249500056845,11.3315000158416
"EUROBAR","BAR TAVOLA FREDDA","XXX","V. COVELANO, 44",39028,"SILANDRO","BZ",46.6260000116313,10.7709899967401
"EUROPA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA ROMA, 31",39041,"BRENNERO","BZ",46.9353299992789,11.4463999827609
"EUROSPAR","MARKET CON GASTR./SUPERMERCATO","XXX","STRADA FANES, 1",39030,"MAREBBE","BZ",46.6972800096019,11.9323099739534
"EVOLUTION SNACK BAR","BAR TAVOLA FREDDA","MAI","V. DALMAZIA, 37/B",39100,"BOLZANO","BZ",46.4915399935523,11.338379965787
"EVOQUE BAR","BAR TAVOLA CALDA","DOM","VIA ORAZIO, 42",39100,"BOLZANO","BZ",46.4976799890854,11.3411800243618
"EWALD BAR RISTORANTE","RISTORANTE","MAI","V. WOLKENSTEIN, 31",39040,"CASTELROTTO","BZ",46.5652499890724,11.5592400131557
"EXPRESS CAFFE' BAR","BAR TAVOLA CALDA","DO","VIA DELLA MENDOLA, 106",39100,"BOLZANO","BZ",46.4960100206062,11.3252300169902
"FAM CHEN RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA STAZIONE, 10",39052,"CALDARO SULLA STRADA DEL VINO","BZ",46.4169200167139,11.2494499847523
"FANTASY LOUNGE & WINE BAR","BAR TAVOLA CALDA","MAI","CORSO DELLA LIBERTA', 28",39100,"BOLZANO","BZ",46.5014600178699,11.3416299649242
"FANTASY TAKE AWAY","TAKE AWAY / PIZZ. ASPORTO","MAI","VIA ANDREAS HOFER, 6",39028,"SILANDRO","BZ",46.6263399816241,10.7727600032337
"FASHION'S CAFE'","BAR TAVOLA FREDDA","DOM","V. CESARE BATTISTI, 20/22",39100,"BOLZANO","BZ",46.5001300193836,11.3442700129674
"FELDTHURNER RISTORANTE","RISTORANTE","LUN","LOCALITA' GOLA, 152",39040,"VELTURNO","BZ",46.6651428085146,11.5896280248521
"FERDY RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA STATALE, 43",39020,"CASTELBELLO-CIARDES","BZ",46.6316800083181,10.9172999723429
"FIGL RISTORANTE","RISTORANTE","MER","VIA DEL MULINO, 9",39010,"NALLES","BZ",46.5450400051405,11.2020100053409
"FINK RISTORANTE","RISTORANTE","MAI","VIA DELLA MOSTRA, 9",39100,"BOLZANO","BZ",46.4985400142607,11.3528300315853
"FISCHADLER RISTORANTE","RISTORANTE / PIZZERIA","MAR","VIA TUNES, 56",39049,"VIPITENO","BZ",46.8916944951966,11.4180420521077
"FLORA CAFE' BAR","BAR TAVOLA CALDA","MER","VIA BOLZANO, 2",39011,"LANA","BZ",46.6131500092396,11.1570199724087
"FLY PIZZA E GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","MAI","VIA JOHANN BASTISS PURGER, 181",39046,"ORTISEI","BZ",46.5914750000001,11.6853984530001
"FONDAZIONE PADRI CAPPUCCINI OPERA SERAFICA MENSA","MENSA","MAI","VIA JOHANN WOLFGANG VON GOETHE, 15",39012,"MERANO","BZ",46.6752299883753,11.1546700220344
"FONSATTI BAR","BAR TAVOLA CALDA","DOM","VIA NAZIONALE, 73",39040,"ORA","BZ",46.3745800062896,11.3160499889944
"FOOD PLAZA SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","XXX","VIA DANTE ALIGHIERI, 14",39042,"BRESSANONE","BZ",46.7209199940418,11.6510299833729
"FORKS BAR","BAR TAVOLA CALDA","XXX","VIA JOSEF RESSEL, 2",39100,"BOLZANO","BZ",46.4825599996757,11.3280999806375
"FORNERIA 38 RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","PIAZZA DELLE ERBE, 39",39100,"BOLZANO","BZ",46.5000299813692,11.3527199771966
"FORST SEASON BAR","BAR TAVOLA CALDA","MAI","PIAZZA FIERA, 1",39100,"BOLZANO","BZ",46.4725699864666,11.3256600086231
"FORST SEASON RISTORANTE","RISTORANTE","S&D","PIAZZA FIERA, 1",39100,"BOLZANO","BZ",46.4725699864666,11.3256600086231
"FORSTERBRAU CENTRAL RISTORANTE","RISTORANTE","DO","VIA JOHANN WOLFANG VON GOETHE, 6",39100,"BOLZANO","BZ",46.4991000092118,11.3522899855637
"FORTUNA CHEN RISTORANTE","RISTORANTE","MAI","VIA MILLAN, 3",39042,"BRESSANONE","BZ",46.7072999881149,11.6614900118026
"FORUM CAFFE' BAR","BAR TAVOLA CALDA","MAI","CORSO ITALIA, 25",39100,"BOLZANO","BZ",46.4981399879317,11.3402499683855
"FOSTERBRAU RISTORANTE","RISTORANTE","MAI","CORSO DELLA LIBERTA', 90",39012,"MERANO","BZ",46.6706900143394,11.1629199940539
"FRANZBAR","BAR TAVOLA CALDA","MAI","VIA LEONARDO DA VINCI, 1",39100,"BOLZANO","BZ",46.4988900006278,11.3522500038856
"FRANZISKANERSTUBEN RISTORANTE","RISTORANTE","DOM","VIA DEI FRANCESCANI, 7",39100,"BOLZANO","BZ",46.5003800096458,11.3535600115329
"FRIENDS","TAKE AWAY / PIZZ. ASPORTO","XXX","V. CONCIAPELLI, 2",39100,"BOLZANO","BZ",46.4986200195265,11.3570199773447
"FRIENDS KEBAP TAKE AWAY","TAKE AWAY / PIZZ. ASPORTO","MAI","VIA DEI CONCIAPELLI, 2",39100,"BOLZANO","BZ",46.4986200195265,11.3570199773447
"FRILO MERCATO","MARKET CON GASTR./SUPERMERCATO","XXX","VIA PAESE, 11",39054,"RENON","BZ",46.5368099820506,11.4641999599823
"FRILO MERCATO","MARKET CON GASTR./SUPERMERCATO","XXX","VIA ROMA, 34",39056,"NOVA LEVANTE","BZ",46.4303199976824,11.5384399851498
"FRISCHECENTER RUNGG SILANDRO MARKET","MARKET CON GASTR./SUPERMERCATO","XXX","VIA PRINCIPALE, 5",39028,"SILANDRO","BZ",46.6263499979984,10.7781599605354
"FUNDUS CAFE' BISTRO' BAR","BAR TAVOLA CALDA","DOM","VIA BOLZANO, 78",39011,"LANA","BZ",46.6095696801207,11.1679749902511
"GABI'S PIZZA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAR","VIA PUSTERIA, 6",39035,"MONGUELFO TESIDO","BZ",46.7577900163633,12.1037899666018
"GALILEO BAR","BAR TAVOLA CALDA","S&D","VIA LUIGI CADORNA, 14",39100,"BOLZANO","BZ",46.5047499986853,11.3463400077756
"GALVANI BAR","BAR TAVOLA FREDDA","DO","VIA LUIGI GALVANI, 6",39100,"BOLZANO","BZ",46.4759900125098,11.3325299841038
"GAMBRINUS RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA ANTONIO LOCATELLI, 8",39100,"BOLZANO","BZ",46.5012300184468,11.3443600346075
"GARNI RAETIA BAR","BAR TAVOLA CALDA","DOM","VIA COL ALT, 87",39033,"CORVARA IN BADIA","BZ",46.5483599931692,11.8753899782316
"GARTEN BZCAFE'","BAR TAVOLA FREDDA","DOM","V. SANTA CROCE, 19",39042,"BRESSANONE","BZ",46.7156399817744,11.653250014248
"GASSENWIRT HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA CHIENES, 42",39030,"CHIENES","BZ",46.8091000042898,11.8417699969568
"GASSER PANIFICIO GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","","VIA PAESE, 20",39100,"LUSON","BZ",46.5355700052043,11.3309499953552
"GASSER PANIFICIO PASTICCERIA GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","DOM","VIA BASTIONI MAGGIORI, 4",39042,"BRESSANONE","BZ",46.7174700026947,11.6570600083363
"GASSER PANIFICIO PASTICCERIA GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","DOM","FRAZIONE SAN PIETRO, 13",39040,"FUNES","BZ",46.640670018569,11.6770400347547
"GASSER PASTICCERIA","GASTRONOMIA/ROSTICCERIA","DOM","VIA SANT'ERARDO, 1",39042,"BRESSANONE","BZ",46.7157300034146,11.6555200012659
"GASSER SNACK CAFE' BAR","BAR TAVOLA CALDA","XXX","VIA BRUNICO, 25",39030,"SAN LORENZO DI SEBATO","BZ",46.7880469685365,11.9160925000515
"GASSER SUPERMERCATO","MARKET CON GASTR./SUPERMERCATO","MAI","VIA BOLZANO, 8",39018,"TERLANO","BZ",46.520600009952,11.2580100033702
"GASSIER SNACKCAFE' BAR","BAR TAVOLA FREDDA","DO","VIA BRENNERO, 21",39042,"BRESSANONE","BZ",46.7224799919512,11.6555800156927
"GASSLBRAU RISTORANTE","RISTORANTE / PIZZERIA","MAR","VIA CONCIATORI, 18",39043,"CHIUSA","BZ",46.639840000607,11.5645099671392
"GASTHAUS FICHTE RISTORANTE","RISTORANTE","","VIA DELLA PIOGGIA 2",39058,"SARENTINO","BZ",46.6954500000001,11.3876151590001
"GASTHAUS PIZZERIA ENGELE","RISTORANTE / PIZZERIA","LUN","VIA ROMA, 113",39012,"MERANO","BZ",46.6599699792731,11.1655700165618
"GASTHAUS SCHWARZER ADLER RISTORANTE","RISTORANTE","MAI","VIA PRINCIPALE, 38",39028,"SILANDRO","BZ",46.6285300052858,10.7769099673149
"GASTHAUSBRAUEREI BRUCKENWIRT RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAR","VIA PIANLARGO, 2",39010,"SAN MARTINO IN PASSIRIA","BZ",46.8159859766796,11.201175265725
"GASTHOF BURGFRIEDEN RISTORANTE","RISTORANTE / PIZZERIA","MAR","SPRECHENSTEIN, 9",39040,"CAMPO DI TRENS","BZ",46.8893300918665,11.4547398393252
"GASTHOF DAIMER KG RISTORANTE","RISTORANTE","SAB","VIA DOTTOR DAIMER, 40",39032,"CAMPO TURES","BZ",46.9184299870014,11.958520017545
"GASTHOF KLAMMER RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA BRENNERO, 42",39049,"VIPITENO","BZ",46.893019996068,11.4355999843383
"GASTHOF LAMM","RISTORANTE","GIO","LOCALITA' LAUDES, 72",39024,"MALLES VENOSTA","BZ",46.6790000007856,10.5307799906147
"GASTHOF LANZENSCHUSTER","RISTORANTE","XXX","FRAZ. VALAS, 48",39050,"SAN GENESIO ATESINO","BZ",46.5844722243094,11.2957170411246
"GASTHOF PARDELLER RISTORANTE","RISTORANTE / PIZZERIA","LUN","VIA ROMA, 18",39056,"NOVA LEVANTE","BZ",46.4307400148505,11.5416400281441
"GASTHOF PENSION ROSEMARIE RISTORANTE","RISTORANTE","DO","VIA PALADE, 57",39020,"MARLENGO","BZ",46.6495200091272,11.1470999900005
"GASTHOF POST","TRATTORIA","XXX","V. CITTA' NUOVA, 14",39049,"VIPITENO","BZ",46.8982300194438,11.4314399619733
"GASTHOF POST RISTORANTE","RISTORANTE","XXX","VIA INNOZENZ BARAT, 5",39040,"CAMPO DI TRENS","BZ",46.8759699896332,11.4858299640407
"GASTHOF SONNE","RISTORANTE","MAR","ASTFELD, 34",39058,"SARENTINO","BZ",46.6662499944988,11.3648699649446
"GASTHOF SONNE RISTORANTE","RISTORANTE / PIZZERIA","XXX","VIA JOSEF RENZLER, 24",39030,"SAN LORENZO DI SEBATO","BZ",46.783350001454,11.9009400307671
"GASTHOF TERZER RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA OBERGASSE, 5",39040,"CORTACCIA SULLA STRADA DEL VIN","BZ",46.3145199820001,11.2227399606363
"GASTHOF TRAUBE RISTORANTE","RISTORANTE","XXX","VIA JOSEF RENZLER, 13",39030,"ST. LORENZEN","BZ",46.7830399967651,11.9019900317779
"GASTHOF ZUR MUEHLE RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MER","VIA HILBWEG, 4",39040,"ORA","BZ",46.3485500059782,11.2973600212938
"GASTHOF ZUR ROSE RISTORANTE","RISTORANTE","MAR","PIAZZA CHIESA, 17",39040,"MONTAGNA","BZ",46.3308299921131,11.3041800406315
"GASTHOF ZUR SONNE RISTORANTE","RISTORANTE","XXX","LOCALITA' MALGASOTT, 33",39010,"SENALE-SAN FELICE","BZ",46.510720009222,11.1096300329592
"GASTHOR EBNER RISTORANTE","RISTORANTE","XXX","VIA CENTRO, 26",39040,"ALDINO","BZ",46.3971899805578,11.3896600303192
"GASTON RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA PORTICI, 242",39012,"MERANO","BZ",46.6719900056124,11.1609000392076
"GASTRONOMIA LA SIESTA","GASTRONOMIA/ROSTICCERIA","DOM","VIA ROMA, 39",39100,"BOLZANO","BZ",46.4925520044067,11.3413440489795
"GASTRONOMIA PECCATI DI GOLA","GASTRONOMIA/ROSTICCERIA","DOM","P.ZA MATTEOTTI, 6",39100,"BOLZANO","BZ",46.4898799995379,11.3364800397942
"GASTROSERVICE MENSA","MENSA","DOM","VIA MARIE CURIE, 2",39100,"BOLZANO","BZ",46.4701300144522,11.3252199587064
"GATTERER PANIFICIO","GASTRONOMIA/ROSTICCERIA","MAI","VIA SAN LORENZO, 18",39031,"BRUNICO","BZ",46.7923400117049,11.9287800192501
"GATTERER PANIFICIO","GASTRONOMIA/ROSTICCERIA","MAI","KIENER DORF WEG, 2",39030,"CHIENES","BZ",46.8061499934672,11.8361800219101
"GATTO NERO RISTORANTE BIRRERIA","RISTORANTE / PIZZERIA","DO","VIA DELLE CORSE, 12",39012,"MERANO","BZ",46.6712800165039,11.1595799732765
"GATTO NERO SCHWARZE KATZ HOTEL RISTORANTE","RISTORANTE","DO","VIA SANTA MADDALENA DI SOTTO, 2",39100,"BOLZANO","BZ",46.5011700040201,11.3654899743225
"GAUDI RISTORANTE","RISTORANTE","MAI","VIA PRINCIPALE, 4",39018,"TERLANO","BZ",46.5294999985627,11.2490500003328
"GEDI  BAR RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA DEI CAMPI DELLA RIENZA STEG, 30",39031,"BRUNICO","BZ",46.8019199822107,11.9273799899627
"GEIER PIZZERIA","RISTORANTE / PIZZERIA","DOM","PIAZZA GRIES, 7",39100,"BOLZANO","BZ",46.5028199816601,11.3342399761706
"GELATERIA DOLOMITI BAR","BAR TAVOLA FREDDA","LUN","C.SO ITALIA, 13",39100,"BOLZANO","BZ",46.5001200030093,11.3400900416729
"GEPA BAR","BAR TAVOLA CALDA","S&D","VIA AMONN, 29",39042,"BRESSANONE","BZ",46.7038250000001,11.663835708
"GEPA RISTORANTE","SELF-SERVICE","S&D","ZONA INDUSTRIALE, 160",39028,"SILANDRO","BZ",46.6159468877818,10.8383147613681
"GERDA RISTORANTE","RISTORANTE","DOM","FRAZIONE BURGUSIO, 65",39024,"MALLES VENOSTA","BZ",46.7124800042773,10.5304899767649
"GERHARD RISTORANTE","RISTORANTE","XXX","VIA PALADE, 1",39010,"CERMES","BZ",46.6271300179079,11.1472399677835
"GIARDINO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","PASSEGGIATA LUNGO PASSIRIO, 2",39012,"MERANO","BZ",46.6700700049615,11.163809984533
"GIGAJOY RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA LUIGI GALVANI, 3",39100,"BOLZANO","BZ",46.4770299971462,11.3335499779012
"GIGLIO BIANCO RISTORANTE","RISTORANTE / PIZZERIA","LUN","PIAZZA CHIESA, 2",39037,"RIO DI PUSTERIA","BZ",46.7960700005275,11.6663500069018
"GILFENKLAMM BAR RISTORANTE","RISTORANTE","SAB","LOCALITA' STANGHE, 20",39040,"RACINES","BZ",46.882480004282,11.3777599909239
"GIOIA BAR","BAR TAVOLA FREDDA","MAI","VIA ROEN, 11",39100,"BOLZANO","BZ",46.4978500159913,11.3373100158466
"GLOBAL 17 BAR BISTRO","BAR TAVOLA CALDA","S&D","VIA MAESTRI DEL LAVORO, 20",39100,"BOLZANO","BZ",46.4703399811268,11.3259399641892
"GOLDENE TRABUE RISTORANTE","RISTORANTE","MAI","VIA JULIUS VON PAYER, 2",39040,"TERMENO SULLA STRADA DEL VINO","BZ",46.3408700033747,11.2392200395647
"GOLDENER LOWE RIST.","RISTORANTE","VEN","VIA DANTE, 6",39028,"SILANDRO","BZ",46.6286699830688,10.7741900397344
"GOLDENER STERN RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA ANDREAS HOFER, 28",39052,"CALDARO SULLA STRADA DEL VINO","BZ",46.4140099875694,11.2459900189405
"GOLDENHOF HOTEL RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","MAI","VIA SAN PIETRO, 2",39040,"ORA","BZ",46.349270011461,11.2977800384619
"GOLDRAINERHOF HOTEL RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA VAL VENOSTA, 4",39021,"LACES","BZ",46.6192053902606,10.8245942648857
"GOLFCLUBHOUSE","RISTORANTE","XXX","VIA IM GELANDE, 15",39031,"BRUNICO","BZ",46.7784999808196,11.9345799609714
"GOOD DAY CAFE' BAR","BAR TAVOLA FREDDA","DOM","CORSO DELLA LIBERTA', 14",39100,"BOLZANO","BZ",46.5035699943563,11.333890031713
"GRANDE MURAGLIA RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA RENON, 29",39100,"BOLZANO","BZ",46.4984699834597,11.3611599669611
"GRAZIADEI PANIFICIO GASTRONOMIA","GASTRONOMIA/ROSTICCERIA","DOM","VIA BASTIONI, 32",39031,"BRUNICO","BZ",46.7963399816287,11.9384700022351
"GREEN BISTRO BAR","BAR TAVOLA CALDA","DOM","VIA GIUSEPPE DI VITTORIO, 16",39100,"BOLZANO","BZ",46.4759999869745,11.3238599949162
"GRELEX BAR","BAR TAVOLA FREDDA","DOM","V.LE EUROPA, 140",39100,"BOLZANO","BZ",46.4928899828777,11.3254699908781
"GRILL IMBISS 2000 FAST FOOD","FAST FOOD","DOM","ZONA INDUSTRIALE, 0",39011,"LANA","BZ",46.6282227925505,11.1625403402662
"GRILL UNTERLAND","RISTORANTE","LUN","VIA NAZIONALE, 22",39040,"SALORNO SULLA STRADA DEL VINO","BZ",46.2394188456285,11.2065058692397
"GRILLAGE RISTORANTE","RISTORANTE","DOM","VIA PORTICI MAGGIORI, 28",39042,"BRESSANONE","BZ",46.716630010268,11.6555700412279
"GRILLSTUBE PIRCHER","RISTORANTE","MAI","STRADA DEL VINO, 45",39010,"NALLES","BZ",46.5497220041151,11.2135341608737
"GRISSINO RISTORANTE","RISTORANTE","XXX","VIA DEL MACELLO, 53",39100,"BOLZANO","BZ",46.4931600058885,11.361210006923
"GRISSINO RISTORANTE ITALIANO","RISTORANTE / PIZZERIA","MAI","VIA MERCATO VECCHIO, 28",39042,"BRESSANONE","BZ",46.7186300161847,11.6569399794829
"GROOVE CAFE' UFO BAR","BAR TAVOLA CALDA","S&D","VIA JOSEF FERRARI, 20",39031,"BRUNICO","BZ",46.7911499910015,11.9329699650095
