"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"ARGENTARIUM HOTEL RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA FLERES, 17",39041,"BRENNERO","BZ",46.9384800023113,11.4398900100216
"ARGENTIERI HOSTARIA RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA ARGENTIERI, 14",39100,"BOLZANO","BZ",46.4991300164252,11.353790010956
"ARISTON RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","GIO","PIAZZA MUNICIPIO, 2",39034,"DOBBIACO","BZ",46.73567998071,12.2224499714665
"ARMA MENSA KLA","MENSA RISERVATA","MAI","VIA JOSEF FERRARI, 12",39031,"BRUNICO","BZ",46.7899499958334,11.9311899840511
"ASIA POINT RISTORANTE","RISTORANTE / PIZZERIA","MAI","VIA DELLE PALADE, 140",39012,"MERANO","BZ",46.656619984031,11.1480499949064
"ASIA RISTORANTE","RISTORANTE","MAI","V. PURGER 181",39046,"ORTISEI","BZ",46.5746800073305,11.6588799709728
"ASIAN SPESE","MARKET CON GASTR./SUPERMERCATO","MAI","VIA GIUSEPPE GARIBALDI, 24",39100,"BOLZANO","BZ",46.495499981798,11.3560500235092
"AUGUSTINER IN MERAN","RISTORANTE","XXX","VIA PORTICI, 266",39012,"MERANO","BZ",46.6721000180916,11.1604500148261
"AURA RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DOM","VIA NAZIONALE, 44",39040,"ORA","BZ",46.3476999971772,11.2984599784475
"AUTOCITY BISTRO'","RISTORANTE","XXX","VIA LUIGI GALVANI, 1",39100,"BOLZANO","BZ",46.4788899833704,11.3345299900205
"BAECKEREI GRAZIADEI","GASTRONOMIA/ROSTICCERIA","DOM","PIAZZA GILM, 1",39031,"BRUNICO","BZ",46.7964199868946,11.9373200051195
"BAHNHOFSCAFE'","BAR TAVOLA FREDDA","MAI","VIA STAZIONE, 1",39028,"SILANDRO","BZ",46.6262000038411,10.766599974952
"BAKEREI STAMPFL","GASTRONOMIA/ROSTICCERIA","MAI","VIA RATISBONA, 14",39042,"BRESSANONE","BZ",46.715450005939,11.6546399852515
"BALNEUM BAR BISTRO","BAR TAVOLA CALDA","MAI","PIAZZA KARL RIEDMANN, 5",39049,"VIPITENO","BZ",46.8933999896484,11.438449999056
"BAMBI BAR RISTORANTE","RISTORANTE / PIZZERIA","DOM","LOCALITA' SOLDA DI FUORI, 11",39029,"STELVIO","BZ",46.5696294087237,10.5563884848796
"BAMBUS RISTORANTE","RISTORANTE","MAI","RIO NERO, 4",39040,"ORA","BZ",46.3419700024379,11.2905300274913
"BAR ALEX'S PUB","BAR TAVOLA CALDA","DOM","VIA EDUARD PLONER, 14",39049,"VIPITENO","BZ",46.8986800019157,11.4275700372772
"BAR BISTRO","BAR TAVOLA CALDA","S&D","VICOLO GUMER, 7",39100,"BOLZANO","BZ",46.4991099836766,11.356059997974
"BAR BISTRO' AMARCORD","BAR TAVOLA CALDA","MAI","P.ZA DELLE ERBE, 38",39100,"BOLZANO","BZ",46.5000099905301,11.3526400138404
"BAR BISTRO BRIGITTE","RISTORANTE","XXX","VIA CALDARO, 6",39057,"APPIANO SULLA STRADA DEL VINO","BZ",46.445109991564,11.2609099742309
"BAR CAFFE' KACHLER","BAR TAVOLA CALDA","DOM","VIA GREMSEN, 27",39031,"BRUNICO","BZ",46.815259990662,11.9322999994887
"BAR CLAUDIA","BAR","XXX","VIA CLAUDIA AUGUSTA, 4",39100,"BOLZANO","BZ",46.4881299838834,11.3460199867124
"BAR DEL COMUNE","BAR TAVOLA CALDA","S&D","V.LO GUMMER, 7",39100,"BOLZANO","BZ",46.4991099836766,11.356059997974
"BAR DEL CORSO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","DO","PIAZZA DELLA VITTORIA, 44",39100,"BOLZANO","BZ",46.5011099895933,11.3436800108029
"BAR ELENA","BAR TAVOLA FREDDA","MAI","V. ROMA, 1/D",39042,"BRESSANONE","BZ",46.7167800044253,11.65418996087
"BAR FIRMIAN","BAR TAVOLA FREDDA","XXX","VIA RESIA, 61",39100,"BOLZANO","BZ",46.4886499971564,11.3178299699527
"BAR HOTEL RISTORANTE PIZZERIA DA CARLOS","RISTORANTE","MAI","VIA JOHN FITZGERALD KENNEDY, 280",39055,"LAIVES","BZ",46.4208999957987,11.3318900257963
"BAR IGLOO RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","LUN","VIA MITTERECK, 5",39037,"RIO DI PUSTERIA","BZ",46.8218599850414,11.6649199704011
"BAR INTERNO IST. MAX VALIER","BAR TAVOLA FREDDA","S&D","VIA SORRENTO, 20",39100,"BOLZANO","BZ",46.4940300055286,11.3277200289665
"BAR INTERNO LICEO SCIENZE UMANE E ARTISTICO IN L.I","BAR TAVOLA CALDA","MAI","VIA GRAZIA DELEDDA, 4",39100,"BOLZANO","BZ",46.4935500158433,11.3135299698047
"BAR INTERNO OSPEDALE DI BOLZANO","BAR TAVOLA FREDDA","MAI","VIA LORENZ BOEHLER, 5",39100,"BOLZANO","BZ",46.4988799842535,11.3088100363076
"BAR INTERNO OSPEDALE DI BOLZANO","BAR TAVOLA FREDDA","MAI","VIA LORENZ BOEHLER, 5",39100,"BOLZANO","BZ",46.4988799842535,11.3088100363076
"BAR JOBEN","BAR TAVOLA FREDDA","MAI","V. ALESSANDRIA, 33",39100,"BOLZANO","BZ",46.4875800053066,11.3239800237696
"BAR MARY","BAR TAVOLA FREDDA","DO","VIA RENON, 39",39100,"BOLZANO","BZ",46.4999400016386,11.3636899606156
